"rules","support","confidence","lift"
"{Unemployment_rating=HIGH,QpsOffence=HANDLING_STOLEN_GOODS} => {Solved=True}",0.00153361853256921,0.910179640718563,1.8096337329811
"{Unemployment_rating=LOW,Solved=False,Suburb=UPPER MOUNT GRAVATT} => {QpsOffence=THEFT}",0.0012064273606771,0.609170305676856,1.80565156670147
"{Unemployment_rating=MEDIUM,Solved=False,Suburb=FORTITUDE VALLEY} => {QpsOffence=THEFT}",0.00422898193097563,0.608840008300477,1.80467252689999
"{Unemployment_rating=MEDIUM,Solved=True,Suburb=CHERMSIDE} => {QpsOffence=THEFT}",0.00331947695536363,0.608776103621464,1.80448310600619
"{QpsOffence=DRUG,Suburb=WOOLLOONGABBA} => {Solved=True}",0.00125110985551699,0.907001044932079,1.80331399795144
"{Unemployment_rating=VERY LOW,Solved=False,Suburb=FORTITUDE VALLEY} => {QpsOffence=THEFT}",0.00298075481706122,0.607699089039083,1.8012907096436
"{QpsOffence=DRUG,Suburb=BRISBANE CITY} => {Solved=True}",0.00903018807006215,0.899368360608671,1.78813857278599
"{Unemployment_rating=LOW,QpsOffence=THEFT,Suburb=BRISBANE AIRPORT} => {Solved=False}",0.00105652479734327,0.8863361547763,1.78324143304446
"{Unemployment_rating=MEDIUM,Suburb=CHERMSIDE} => {QpsOffence=THEFT}",0.00500876353447182,0.598106712564544,1.7728577912163
"{Unemployment_rating=MEDIUM,Solved=False,Suburb=BRISBANE CITY} => {QpsOffence=THEFT}",0.00654094069623975,0.594601677148847,1.76246845898734
"{Unemployment_rating=MEDIUM,Solved=False,Suburb=UPPER MOUNT GRAVATT} => {QpsOffence=THEFT}",0.00148749466692804,0.593785960874568,1.76005058117073
"{Unemployment_rating=HIGH,Solved=False,Suburb=BRISBANE CITY} => {QpsOffence=THEFT}",0.00159415610622326,0.591760299625468,1.7540462858629
"{Unemployment_rating=MEDIUM,QpsOffence=UNLAWFUL_ENTRY,Suburb=SUNNYBANK HILLS} => {Solved=False}",0.00102625601051624,0.871481028151775,1.75335403970366
"{Unemployment_rating=MEDIUM,Solved=False,Suburb=INDOOROOPILLY} => {QpsOffence=THEFT}",0.00129290960875431,0.59129861568886,1.75267780103084
"{Unemployment_rating=LOW,Solved=True,Suburb=CHERMSIDE} => {QpsOffence=THEFT}",0.00251951616064942,0.590540540540541,1.75043077820901
"{QpsOffence=THEFT,Suburb=RED HILL} => {Solved=False}",0.0012496684847157,0.8687374749499,1.74783421777495
"{QpsOffence=THEFT,Suburb=BRISBANE AIRPORT} => {Solved=False}",0.00285391418654797,0.868421052631579,1.74719759995751
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=EAST BRISBANE} => {Solved=False}",0.00118048268625394,0.863924050632911,1.73814997141918
"{QpsOffence=THEFT,Suburb=PADDINGTON} => {Solved=False}",0.00124822711391442,0.861691542288557,1.73365833316453
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=DARRA} => {Solved=False}",0.00106949713455485,0.859791425260718,1.72983544114617
"{Solved=False,Suburb=UPPER MOUNT GRAVATT} => {QpsOffence=THEFT}",0.00388305293866679,0.582360570687419,1.72618439711785
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=SUNNYBANK HILLS} => {Solved=False}",0.00266653598238068,0.857672693555865,1.72557271290109
"{Unemployment_rating=LOW,Suburb=CHERMSIDE} => {QpsOffence=THEFT}",0.00404448646841092,0.581554404145078,1.7237948258163
"{QpsOffence=ASSAULT,Suburb=INALA} => {Solved=True}",0.00122516518109383,0.865580448065173,1.72096090414746
