Index,Year,Suburb,OffenceType,CPI-Annual-Change
60634,2012,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60635,2013,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60636,2014,SAINT LUCIA,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
60637,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60638,2008,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60639,2008,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60640,2008,SAINT LUCIA,THEFT,VERY HIGH
60641,2008,SAINT LUCIA,THEFT,VERY HIGH
60642,2009,SAINT LUCIA,GOOD_ORDER,VERY HIGH
60643,2009,SAINT LUCIA,THEFT,VERY HIGH
60644,2010,SAINT LUCIA,THEFT,MEDIUM
60645,2010,SAINT LUCIA,THEFT,MEDIUM
60646,2011,SAINT LUCIA,THEFT,HIGH
60647,2011,SAINT LUCIA,PROPERTY_DAMAGE,HIGH
60648,2012,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60649,2012,SAINT LUCIA,THEFT,VERY LOW
60650,2012,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60651,2012,SAINT LUCIA,PROPERTY_DAMAGE,VERY LOW
60652,2013,SAINT LUCIA,THEFT,VERY LOW
60653,2014,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
60654,2008,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60655,2008,SAINT LUCIA,HANDLING_STOLEN_GOODS,VERY HIGH
60656,2008,SAINT LUCIA,DRUG,VERY HIGH
60657,2010,SAINT LUCIA,THEFT,MEDIUM
60658,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
60659,2011,SAINT LUCIA,THEFT,HIGH
60660,2012,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60661,2013,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60662,2013,SAINT LUCIA,THEFT,VERY LOW
60663,2013,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60664,2013,SAINT LUCIA,PROPERTY_DAMAGE,VERY LOW
60665,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60666,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60667,2012,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60668,2012,SAINT LUCIA,THEFT,VERY LOW
60669,2015,SAINT LUCIA,THEFT,VERY LOW
60670,2015,SAINT LUCIA,FRAUD,VERY LOW
60671,2007,SAINT LUCIA,GOOD_ORDER,HIGH
60672,2008,SAINT LUCIA,THEFT,VERY HIGH
60673,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60674,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
60675,2009,SAINT LUCIA,GOOD_ORDER,VERY HIGH
60676,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
60677,2010,SAINT LUCIA,THEFT,MEDIUM
60678,2011,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60679,2011,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
