Index,Year,Suburb,OffenceType,CPI-Annual-Change
30555,2011,CARINDALE,HANDLING_STOLEN_GOODS,HIGH
30556,2011,CARINDALE,GOOD_ORDER,HIGH
30557,2011,CARINDALE,FRAUD,HIGH
30558,2011,CARINDALE,GOOD_ORDER,HIGH
30559,2011,CARINDALE,GOOD_ORDER,HIGH
30560,2012,CARINDALE,GOOD_ORDER,VERY LOW
30561,2012,CARINDALE,ASSAULT,VERY LOW
30562,2012,CARINA HEIGHTS,GOOD_ORDER,VERY LOW
30563,2012,CARINDALE,GOOD_ORDER,VERY LOW
30564,2012,CARINDALE,GOOD_ORDER,VERY LOW
30565,2013,CARINDALE,THEFT,VERY LOW
30566,2013,CARINDALE,GOOD_ORDER,VERY LOW
30567,2013,CARINDALE,FRAUD,VERY LOW
30568,2013,CARINDALE,DRUG,VERY LOW
30569,2013,CARINA HEIGHTS,GOOD_ORDER,VERY LOW
30570,2013,CARINA HEIGHTS,GOOD_ORDER,VERY LOW
30571,2013,CARINDALE,DRUG,VERY LOW
30572,2013,CARINDALE,DRUG,VERY LOW
30573,2013,CARINA HEIGHTS,GOOD_ORDER,VERY LOW
30574,2013,CARINDALE,GOOD_ORDER,VERY LOW
30575,2014,CARINA HEIGHTS,DRUG,MEDIUM
30576,2014,CARINDALE,THEFT,MEDIUM
30577,2014,CARINA HEIGHTS,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
30578,2015,CARINDALE,GOOD_ORDER,VERY LOW
30579,2015,CARINA HEIGHTS,GOOD_ORDER,VERY LOW
30580,2015,CARINDALE,GOOD_ORDER,VERY LOW
30581,2015,CARINA HEIGHTS,GOOD_ORDER,VERY LOW
30582,2015,CARINA HEIGHTS,GOOD_ORDER,VERY LOW
30583,2016,CARINDALE,FRAUD,VERY LOW
30584,2016,CARINA HEIGHTS,DRUG,VERY LOW
30585,2016,CARINDALE,GOOD_ORDER,VERY LOW
30586,2016,CARINDALE,GOOD_ORDER,VERY LOW
30587,2016,CARINDALE,GOOD_ORDER,VERY LOW
30588,2016,CARINDALE,GOOD_ORDER,VERY LOW
30589,2016,CARINDALE,DRUG,VERY LOW
30590,2016,CARINDALE,GOOD_ORDER,VERY LOW
30591,2016,CARINDALE,GOOD_ORDER,VERY LOW
30592,2017,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30593,2017,CARINDALE,ASSAULT,VERY LOW
30594,2017,CARINA HEIGHTS,DRUG,VERY LOW
30595,2007,CARINDALE,PROPERTY_DAMAGE,HIGH
30596,2007,CARINDALE,UNLAWFUL_MOTOR_VEHICLE,HIGH
30597,2007,CARINDALE,THEFT,HIGH
30598,2007,CARINDALE,UNLAWFUL_ENTRY,HIGH
30599,2007,CARINDALE,UNLAWFUL_MOTOR_VEHICLE,HIGH
30600,2007,CARINDALE,THEFT,HIGH
30601,2007,CARINDALE,UNLAWFUL_ENTRY,HIGH
30602,2007,CARINDALE,UNLAWFUL_ENTRY,HIGH
30603,2007,CARINDALE,THEFT,HIGH
30604,2007,CARINDALE,ASSAULT,HIGH
30605,2007,CARINDALE,PROPERTY_DAMAGE,HIGH
30606,2007,CARINDALE,ASSAULT,HIGH
30607,2007,CARINDALE,PROPERTY_DAMAGE,HIGH
30608,2008,CARINDALE,THEFT,VERY HIGH
30609,2008,CARINDALE,UNLAWFUL_MOTOR_VEHICLE,VERY HIGH
30610,2008,CARINDALE,THEFT,VERY HIGH
30611,2008,CARINDALE,THEFT,VERY HIGH
30612,2009,CARINDALE,UNLAWFUL_ENTRY,VERY HIGH
30613,2009,CARINDALE,THEFT,VERY HIGH
30614,2009,CARINDALE,ASSAULT,VERY HIGH
30615,2009,CARINDALE,ASSAULT,VERY HIGH
30616,2010,CARINDALE,THEFT,MEDIUM
30617,2010,CARINDALE,PROPERTY_DAMAGE,MEDIUM
30618,2010,CARINDALE,THEFT,MEDIUM
30619,2010,CARINDALE,UNLAWFUL_ENTRY,MEDIUM
30620,2010,CARINDALE,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
30621,2010,CARINDALE,ARSON,MEDIUM
30622,2010,CARINDALE,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
30623,2010,CARINDALE,THEFT,MEDIUM
30624,2011,CARINDALE,THEFT,HIGH
30625,2011,CARINDALE,PROPERTY_DAMAGE,HIGH
30626,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30627,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30628,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30629,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30630,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30631,2011,CARINDALE,PROPERTY_DAMAGE,HIGH
30632,2012,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30633,2012,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30634,2012,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30635,2012,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30636,2012,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30637,2013,CARINDALE,THEFT,VERY LOW
30638,2013,CARINDALE,THEFT,VERY LOW
30639,2013,CARINDALE,DRUG,VERY LOW
30640,2013,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30641,2013,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30642,2013,CARINDALE,THEFT,VERY LOW
30643,2014,CARINDALE,UNLAWFUL_ENTRY,MEDIUM
30644,2014,CARINDALE,THEFT,MEDIUM
30645,2015,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30646,2015,CARINDALE,DRUG,VERY LOW
30647,2015,CARINDALE,THEFT,VERY LOW
30648,2015,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30649,2015,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30650,2015,CARINDALE,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
30651,2015,CARINDALE,THEFT,VERY LOW
30652,2015,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30653,2015,CARINDALE,THEFT,VERY LOW
30654,2016,CARINDALE,THEFT,VERY LOW
30655,2016,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30656,2016,CARINDALE,THEFT,VERY LOW
30657,2016,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30658,2016,CARINDALE,THEFT,VERY LOW
30659,2017,CARINDALE,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
30660,2017,CARINDALE,THEFT,VERY LOW
30661,2017,CARINDALE,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
30662,2017,CARINDALE,ARSON,VERY LOW
30663,2007,CARINDALE,FRAUD,HIGH
30664,2008,CARINDALE,PROPERTY_DAMAGE,VERY HIGH
30665,2008,CARINDALE,UNLAWFUL_ENTRY,VERY HIGH
30666,2009,CARINDALE,PROPERTY_DAMAGE,VERY HIGH
30667,2011,CARINDALE,THEFT,HIGH
30668,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30669,2015,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30670,2016,CARINDALE,THEFT,VERY LOW
30671,2016,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30672,2007,CARINDALE,UNLAWFUL_ENTRY,HIGH
30673,2009,CARINDALE,THEFT,VERY HIGH
30674,2009,CARINDALE,THEFT,VERY HIGH
30675,2009,CARINDALE,UNLAWFUL_ENTRY,VERY HIGH
30676,2009,CARINDALE,PROPERTY_DAMAGE,VERY HIGH
30677,2010,CARINDALE,PROPERTY_DAMAGE,MEDIUM
30678,2013,CARINDALE,THEFT,VERY LOW
30679,2013,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30680,2014,CARINDALE,UNLAWFUL_ENTRY,MEDIUM
30681,2015,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30682,2015,CARINDALE,THEFT,VERY LOW
30683,2016,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30684,2016,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30685,2016,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30686,2016,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30687,2016,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30688,2017,CARINDALE,THEFT,VERY LOW
30689,2017,CARINDALE,GOOD_ORDER,VERY LOW
30690,2007,CARINDALE,THEFT,HIGH
30691,2009,CARINDALE,THEFT,VERY HIGH
30692,2009,CARINDALE,UNLAWFUL_ENTRY,VERY HIGH
30693,2010,CARINDALE,THEFT,MEDIUM
30694,2011,CARINDALE,THEFT,HIGH
30695,2012,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30696,2013,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30697,2013,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30698,2013,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30699,2013,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30700,2014,CARINDALE,PROPERTY_DAMAGE,MEDIUM
30701,2014,CARINDALE,UNLAWFUL_ENTRY,MEDIUM
30702,2014,CARINDALE,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
30703,2014,CARINDALE,THEFT,MEDIUM
30704,2007,CARINDALE,PROPERTY_DAMAGE,HIGH
30705,2007,CARINDALE,PROPERTY_DAMAGE,HIGH
30706,2007,CARINDALE,ASSAULT,HIGH
30707,2007,CARINDALE,THEFT,HIGH
30708,2008,CARINDALE,ASSAULT,VERY HIGH
30709,2009,CARINDALE,UNLAWFUL_MOTOR_VEHICLE,VERY HIGH
30710,2010,CARINDALE,UNLAWFUL_ENTRY,MEDIUM
30711,2010,CARINDALE,UNLAWFUL_ENTRY,MEDIUM
30712,2010,CARINDALE,PROPERTY_DAMAGE,MEDIUM
30713,2010,CARINDALE,THEFT,MEDIUM
30714,2011,CARINDALE,THEFT,HIGH
30715,2011,CARINDALE,THEFT,HIGH
30716,2011,CARINDALE,THEFT,HIGH
30717,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30718,2012,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30719,2013,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30720,2013,CARINDALE,DRUG,VERY LOW
30721,2013,CARINDALE,THEFT,VERY LOW
30722,2013,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30723,2013,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30724,2013,CARINDALE,THEFT,VERY LOW
30725,2014,CARINDALE,GOOD_ORDER,MEDIUM
30726,2015,CARINDALE,FRAUD,VERY LOW
30727,2015,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30728,2015,CARINDALE,THEFT,VERY LOW
30729,2015,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30730,2015,CARINDALE,THEFT,VERY LOW
30731,2007,CARINDALE,PROPERTY_DAMAGE,HIGH
30732,2007,CARINDALE,PROPERTY_DAMAGE,HIGH
30733,2007,CARINDALE,GOOD_ORDER,HIGH
30734,2009,CARINDALE,THEFT,VERY HIGH
30735,2009,CARINDALE,PROPERTY_DAMAGE,VERY HIGH
30736,2010,CARINDALE,UNLAWFUL_ENTRY,MEDIUM
30737,2010,CARINDALE,PROPERTY_DAMAGE,MEDIUM
30738,2010,CARINDALE,UNLAWFUL_ENTRY,MEDIUM
30739,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30740,2011,CARINDALE,DRUG,HIGH
30741,2011,CARINDALE,THEFT,HIGH
30742,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30743,2011,CARINDALE,UNLAWFUL_ENTRY,HIGH
30744,2012,CARINDALE,ASSAULT,VERY LOW
30745,2013,CARINDALE,PROPERTY_DAMAGE,VERY LOW
30746,2013,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30747,2014,CARINDALE,GOOD_ORDER,MEDIUM
30748,2015,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30749,2015,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30750,2016,CARINDALE,UNLAWFUL_ENTRY,VERY LOW
30751,2017,CARINDALE,THEFT,VERY LOW
30752,2017,CARINDALE,THEFT,VERY LOW
30753,2007,CARINDALE,PROPERTY_DAMAGE,HIGH
30754,2007,CARINDALE,THEFT,HIGH
30755,2007,CARINDALE,THEFT,HIGH
30756,2007,CARINDALE,THEFT,HIGH
30757,2008,CARINDALE,PROPERTY_DAMAGE,VERY HIGH
30758,2008,CARINDALE,PROPERTY_DAMAGE,VERY HIGH
30759,2008,CARINDALE,DRUG,VERY HIGH
30760,2008,CARINDALE,GOOD_ORDER,VERY HIGH
30761,2009,CARINDALE,GOOD_ORDER,VERY HIGH
30762,2009,CARINDALE,GOOD_ORDER,VERY HIGH
30763,2009,CARINDALE,GOOD_ORDER,VERY HIGH
30764,2007,MORETON ISLAND,ASSAULT,HIGH
30765,2007,MORETON ISLAND,THEFT,HIGH
30766,2007,MORETON ISLAND,THEFT,HIGH
30767,2007,MORETON ISLAND,UNLAWFUL_ENTRY,HIGH
30768,2007,MORETON ISLAND,UNLAWFUL_ENTRY,HIGH
30769,2007,MORETON ISLAND,GOOD_ORDER,HIGH
30770,2007,MORETON ISLAND,THEFT,HIGH
30771,2007,MORETON ISLAND,UNLAWFUL_ENTRY,HIGH
30772,2007,MORETON ISLAND,ASSAULT,HIGH
30773,2007,MORETON ISLAND,UNLAWFUL_ENTRY,HIGH
30774,2007,MORETON ISLAND,DRUG,HIGH
30775,2007,MORETON ISLAND,UNLAWFUL_ENTRY,HIGH
30776,2007,MORETON ISLAND,DRUG,HIGH
30777,2007,MORETON ISLAND,DRUG,HIGH
30778,2007,MORETON ISLAND,DRUG,HIGH
30779,2007,MORETON ISLAND,DRUG,HIGH
30780,2007,MORETON ISLAND,THEFT,HIGH
30781,2007,MORETON ISLAND,THEFT,HIGH
30782,2007,MORETON ISLAND,UNLAWFUL_ENTRY,HIGH
30783,2007,MORETON ISLAND,DRUG,HIGH
30784,2007,MORETON ISLAND,UNLAWFUL_ENTRY,HIGH
30785,2007,MORETON ISLAND,THEFT,HIGH
30786,2007,MORETON ISLAND,THEFT,HIGH
30787,2007,MORETON ISLAND,GOOD_ORDER,HIGH
30788,2007,MORETON ISLAND,THEFT,HIGH
30789,2007,MORETON ISLAND,THEFT,HIGH
30790,2007,MORETON ISLAND,PROPERTY_DAMAGE,HIGH
30791,2007,MORETON ISLAND,THEFT,HIGH
30792,2007,MORETON ISLAND,THEFT,HIGH
30793,2007,MORETON ISLAND,UNLAWFUL_MOTOR_VEHICLE,HIGH
30794,2007,MORETON ISLAND,UNLAWFUL_ENTRY,HIGH
30795,2007,MORETON ISLAND,UNLAWFUL_ENTRY,HIGH
30796,2007,MORETON ISLAND,PROPERTY_DAMAGE,HIGH
30797,2008,MORETON ISLAND,THEFT,VERY HIGH
30798,2008,MORETON ISLAND,THEFT,VERY HIGH
30799,2008,MORETON ISLAND,THEFT,VERY HIGH
30800,2008,MORETON ISLAND,UNLAWFUL_ENTRY,VERY HIGH
30801,2008,MORETON ISLAND,THEFT,VERY HIGH
30802,2008,MORETON ISLAND,PROPERTY_DAMAGE,VERY HIGH
30803,2008,MORETON ISLAND,THEFT,VERY HIGH
30804,2008,MORETON ISLAND,UNLAWFUL_ENTRY,VERY HIGH
30805,2008,MORETON ISLAND,GOOD_ORDER,VERY HIGH
30806,2008,MORETON ISLAND,THEFT,VERY HIGH
